gender;age;education;score;country;geography;student;teacher;caregiver;occupation;cultural;case;desktop;laptop;tablet;smartphone;richmobile;basicmobile;desktopuse;laptopuse;tabletuse;smartphoneuse;richmobileuse;basicmobileuse;at_everywhere;at_work;at_home;at_familyhouse;at_school;at_public;at_internetcafe;desktop_access;laptop_access;tablet_access;smartphone_access;richmobile_access;basicmobile_access;desktopUSE_net;laptopUSE_net;tabletUSE_net;smartphoneUSE_net;richmobileUSE_net;basicmobileUSE_net;everywhere_net;work_net;home_net;familyhouse_net;school_net;public_net;internetcafe_net;sms_access;digitalphoto_access;digitalvideo_access;digitalpayment_access;digitalpayment_recieve;politicalnews_access;socialnetworks;healthinfo;jobsearch;serviceoffer;games;topics;discussions;word;budgeting;appdev;webdev;products;banking;everywhereUSE;workUSE;homeUSE;familyhouseUSE;schoolUSE;publicUSE;internetcafeUSE;playgames;takephoto;lookphoto;makevideo;watchvideo;makemusic;listenmusic;read;write;talk;talkfamily;events;learn;games_net;takephotos_net;lookphotos_net;makevideos_net;watchvideos_net;makemusic_net;listenmusic_net;read_net;write_net;talkfriends_net;talkfamily_net;planevent_net;learn_net;shareidea_net;learnidea_net;musicdownload_net;moviedownload_net;bookdownload_net;facebook;twitter;instagram;snapchat;youtube;linkedin;badoo;googlep;whatsapp;viber;kik;bbmessenger;vine;pinterest;tumblr;googledocs;blogger;wordpress;wordedit
0;25-30;University;355;Lebanon;Rural;0;0;0;Workforce;Lebanese;Typical;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Multiple times day;Multiple times day;;Multiple times day;Never;Multiple times day;Multiple times day;Always;Always;Always;Less than once a month;Once a month;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Not very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Not very often;Very often;Often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Not very often;Very often;Very often;Very often;Never;Never;Very often;Very often;Very often;NA;Somewhat often;NA;NA;NA;NA;NA;Very often;Very often
0;25-30;Mas/PhD;622;Lebanon;Urban;0;0;0;Workforce;Palestinian;Typical;Less than once a month;Multiple times day;Once a week;Multiple times day;Never;Never;Once a month;Multiple times day;Once a month;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Less than once a month;Never;Once a month;Multiple times day;Less than once a month;Multiple times day;Never;Never;Less than once a month;Multiple times day;Less than once a month;Multiple times day;Less than once a month;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Less than once a month;Less than once a month;Once every few weeks;Always;Always;Less than once a month;Less than once a month;Once a day;Always;Every few days;Every few days;Once a day;Every few days;Once a day;Every few days;Once a day;Every few days;Never;Never;Every few days;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Never;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Often;Often;Often;Often;Often;Often;Somewhat often;Not very often;Often;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Often;Often;Very often;Often;Often;Often;Often;Often;Never;Never;Never;Often;Often;Never;Never;Never;Never;Never;Never;Never;Never;Often
0;20-24;University;720;Lebanon;Rural;0;1;0;Workforce;Lebanese;Typical;Once a month;Every few days;Multiple times day;Multiple times day;Never;Once a month;Less than once a month;Once a day;Once a week;Multiple times day;Never;Less than once a month;Multiple times day;Once a day;Multiple times day;Once a day;Once a day;NA;Multiple times day;Once a month;Once a day;Once a day;Multiple times day;Never;Never;Once a month;Once a day;Less than once a month;Multiple times day;Never;Never;Multiple times day;Every few days;Multiple times day;Once a day;Every few days;NA;Once a day;Always;Always;Always;Never;Never;Always;Always;Once every few weeks;Once a week;Never;Every few days;Once a day;Once a week;Every few days;Never;Never;Never;Never;Never;Multiple times day;Never;Multiple times day;;Once a day;Once a day;NA;Somewhat often;Somewhat often;Very often;Somewhat often;Very often;NA;Often;Often;Often;Very often;Very often;Never;Somewhat often;Not very often;NA;NA;NA;NA;NA;Often;Often;Often;Very often;Very often;Not very often;Often;Not very often;Not very often;Somewhat often;Not very often;Not very often;Very often;Never;Often;Never;Often;Never;Never;Never;Very often;Not very often;Never;Never;Never;Never;Never;Never;Never;Never;Often
0;20-24;University;597;Lebanon;Rural;0;0;0;Unemployed;Lebanese;Typical;Never;Multiple times day;Multiple times day;Multiple times day;Never;Never;Never;Multiple times day;Once a day;Multiple times day;Never;Never;Multiple times day;NA;Multiple times day;Once a day;Multiple times day;NA;Multiple times day;Never;Multiple times day;Once a day;Multiple times day;Never;Never;Never;Multiple times day;Once a month;Multiple times day;Never;Never;Multiple times day;NA;Multiple times day;Once a day;Multiple times day;NA;Multiple times day;Always;Always;Always;Always;Never;Always;Always;Once a month;Every few days;Never;Every few days;Once a week;Less than once a month;Always;Never;Never;Always;Never;Never;Multiple times day;NA;Multiple times day;Once a day;Multiple times day;NA;Multiple times day;Somewhat often;Very often;Very often;Often;Very often;Not very often;Very often;Very often;Often;Very often;Very often;Never;Very often;Not very often;NA;Very often;Never;Very often;NA;Often;Often;Often;Very often;Often;Never;Somewhat often;Not very often;Often;Often;Never;Not very often;Very often;Never;Very often;Never;Somewhat often;Never;Never;Somewhat often;Very often;Somewhat often;Never;Never;Never;Never;Never;Never;Not very often;Never;
1;20-24;Secondary;581;Lebanon;Rural;1;0;0;Unemployed;Lebanese;Typical;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Once a day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Never;Multiple times day;Multiple times day;Once a month;Multiple times day;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Once a day;Multiple times day;Multiple times day;Multiple times day;Never;Never;Never;Every few days;Multiple times day;Once a month;Multiple times day;Never;Never;Always;Always;Always;Always;NA;Always;Always;NA;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Once a week;Never;Once a day;Multiple times day;Once a month;Once a day;Never;Never;Often;Very often;Very often;Not very often;Often;Not very often;Often;Somewhat often;Not very often;Very often;Often;Often;Very often;Very often;Never;Very often;Never;Often;Never;Very often;Often;Never;Very often;Often;Somewhat often;Very often;Not very often;Often;Often;;Somewhat often;Very often;Not very often;Often;Somewhat often;Very often;Never;Never;Never;Often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Never;Somewhat often
0;20-24;Secondary;553;Lebanon;Rural;1;0;0;Unemployed;Lebanese;Typical;Less than once a month;Multiple times day;Less than once a month;Multiple times day;Never;Never;Never;Once every few weeks;Never;Multiple times day;Never;Never;Multiple times day;Never;;Once a week;Never;Never;Every few days;Less than once a month;Multiple times day;Once a week;Multiple times day;Never;Never;Less than once a month;Once a week;Never;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Never;Never;Never;Once every few weeks;Always;Always;Always;Less than once a month;NA;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Never;Once every few weeks;Once every few weeks;Once every few weeks;Once a day;Never;Multiple times day;Less than once a month;Never;Never;Once every few weeks;Not very often;Very often;Often;Never;Often;Never;Very often;Not very often;Often;Very often;Very often;Very often;Often;Never;Not very often;Very often;Not very often;Very often;Not very often;Very often;Often;Very often;Very often;Very often;Very often;Often;Often;Often;Very often;Often;Never;Very often;Never;Very often;Not very often;Often;Never;Never;Never;Very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;
0;25-30;University;23;Lebanon;Urban;0;0;0;Workforce;Syrian;Typical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;25-30;University;763;Lebanon;Urban;0;0;0;Workforce;Syrian;Typical;Multiple times day;Once every few weeks;Never;Multiple times day;NA;Multiple times day;Multiple times day;Once every few weeks;Never;Multiple times day;NA;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Less than once a month;Less than once a month;Multiple times day;Once a day;Never;Multiple times day;NA;Never;Once a day;Once a month;Never;Multiple times day;NA;NA;Multiple times day;Once a day;Multiple times day;Multiple times day;Never;Less than once a month;Never;Every few days;Always;Every few days;Never;Never;Never;Always;Every few days;Never;Never;Never;Once a day;Once a day;Once a day;Never;Never;Never;Once a day;Never;Multiple times day;Once a day;Multiple times day;Multiple times day;Never;Never;Never;Never;Very often;Very often;Often;Often;Somewhat often;Somewhat often;Not very often;Not very often;Often;Often;Never;Not very often;Never;Never;Very often;Somewhat often;Not very often;Often;Not very often;Never;Not very often;Often;Often;Never;Somewhat often;Somewhat often;Somewhat often;Somewhat often;Not very often;Never;Very often;Never;Not very often;Never;Somewhat often;Never;Never;Never;Very often;Somewhat often;Never;Never;NA;NA;NA;NA;NA;NA;Very often
0;16-19;Primary;510;Lebanon;Rural;1;0;0;Unemployed;Lebanese;Typical;Multiple times day;Less than once a month;;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Multiple times day;Never;Never;Every few days;Never;Multiple times day;Every few days;Once a month;NA;NA;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Multiple times day;Never;Never;Once every few weeks;Never;Multiple times day;Once every few weeks;Once a month;NA;Once every few weeks;Always;Always;Always;Always;NA;Always;Always;Once a day;Once a day;Once a day;Always;Always;Always;Always;Always;Never;Every few days;Every few days;Never;Once a day;Never;Multiple times day;Once every few weeks;Once a month;Never;Never;Very often;Very often;Very often;Very often;Very often;Not very often;Very often;Often;Somewhat often;Often;Often;Very often;Very often;Very often;Never;Very often;Never;Very often;Never;Very often;Somewhat often;Not very often;Often;Very often;Very often;Very often;Somewhat often;Often;Very often;Very often;Somewhat often;Very often;Never;Often;Never;Very often;Never;Never;Never;Very often;Not very often;Never;Never;Never;Never;Never;Never;Never;Never;
0;20-24;University;572;Lebanon;Rural;0;0;0;Unemployed;Lebanese;Typical;Once a month;Every few days;Multiple times day;Multiple times day;Never;Never;Once a month;Once a month;Multiple times day;Multiple times day;Never;Never;Once a day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Once a week;Once a week;Once a month;Once a month;Multiple times day;Multiple times day;Never;Never;Never;Once a week;Multiple times day;Multiple times day;Never;Never;Multiple times day;Never;Multiple times day;Once a day;Once a day;Never;Never;Every few days;Once a day;Once a day;Once a month;Once a month;Every few days;Always;Once a month;Always;Every few days;Once a day;Once a day;Always;Always;Always;Never;Once a month;Once a month;Once a month;Multiple times day;Never;Once a day;Never;Never;Never;Never;Somewhat often;Often;Often;Often;Very often;Never;Very often;Somewhat often;Somewhat often;Very often;Very often;Very often;Very often;Not very often;Never;Often;Never;Often;Never;Often;NA;NA;Very often;Very often;;Very often;Very often;Very often;Very often;Very often;Never;Often;Never;Never;Never;Often;Never;Never;Never;Often;Often;Never;Never;Never;Never;Never;Never;Never;Never;
0;25-30;University;664;Tanzania;Urban;0;0;0;Self-employed;Tanzanian;Typical;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;NA;Always;Always;Always;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;NA;Very often;Very often;NA;Very often;NA;Very often;Very often;Very often;Very often;Very often;Often;Very often;Very often;Very often;Very often;Never;Very often;Never;Very often;Very often;Very often;Very often;Very often;Somewhat often;Very often;Very often;Very often;Very often;Very often;Very often;Somewhat often;Never;Never;Never;Very often;Somewhat often;Never;Never;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never
1;25-30;University;559;Tanzania;Urban;0;0;0;Workforce;Tanzanian;Typical;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Never;Never;Never;Always;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Never;Very often;Never;Very often;Often;Never;Never;Very often;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Not very often
0;20-24;Certificate;1190;Tanzania;Urban;0;0;0;Workforce;Tanzanian;Typical;Never;Less than once a month;Never;Less than once a month;Less than once a month;Multiple times day;Never;Less than once a month;Never;Less than once a month;Less than once a month;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Never;Less than once a month;Never;Less than once a month;Less than once a month;Less than once a month;Never;Never;Never;Never;Never;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Less than once a month;Multiple times day;Multiple times day;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Multiple times day;Never;Often;Often;Often;Often;Often;Often;Often;Often;Often;Often;Often;Often;Not very often;Not very often;Not very often;Not very often;Often;Not very often;Often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Not very often;Very often;Never;Never;Never;Often;Never;;Never;Very often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never
0;25-30;University;712;Tanzania;Urban;0;0;1;Workforce;Tanzanian;Typical;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Once a day;Less than once a month;Less than once a month;Less than once a month;Less than once a month;Less than once a month;Less than once a month;Never;Never;Never;Never;Never;Once a day;Never;Never;Never;Never;Never;Once a day;Once a day;Never;Never;Never;Never;Never;Once a day;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Never;Never;Always;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Not very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Very often;Never;Never;Somewhat often;Never;Never;Never;Never;Somewhat often;Somewhat often;Somewhat often;Never;Never;Never;Somewhat often;Somewhat often;Never;Never;Never;Somewhat often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;
0;25-30;Primary;895;Tanzania;Urban;0;0;0;Workforce;Tanzanian;Typical;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Every few days;Every few days;Every few days;Every few days;Never;Never;Never;Never;Never;Never;Never;Never;Multiple times day;Never;Never;Never;Never;Never;Multiple times day;Multiple times day;Every few days;Every few days;Every few days;Never;Never;Never;Always;Always;Always;Always;Less than once a month;Less than once a month;Less than once a month;Always;Less than once a month;Never;Always;Never;Always;Never;Never;Never;Never;Never;Always;Multiple times day;Once a day;Once a day;Once a day;Never;Never;Never;Often;Often;Often;Often;Often;Often;Often;Often;Often;Often;Often;Never;Often;Never;Never;Often;Never;Never;Never;Often;Often;Often;Often;Often;Never;Never;Never;Never;Never;Never;Never;Often;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never
